,項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI,出願日,count,month,year,FI_class,FI_subclass,FI_classJP,FI_subclassJP
218,219,特願2016-530330,特表2016-527471,"2014/07/23
2015/02/05
-",気候コントローラ,アンビ ラブス リミテッド,"F24F11/02,103@B 
H04Q9/00,301@D 
F24F11/02,102@D 
他",2014-07-23,1,7,2014,"他
F24F
H04Q","F24F11/02
H04Q9/00
F24F11/02
他","[]
['空気調節；空気加湿；換気；しゃへいのためのエアカーテンの利用（発生場所からのじんあいまたは臭気の除去Ｂ０８Ｂ１５／００；建物から廃ガスを除去するための垂直ダクトＥ０４Ｆ１７／０２；煙突または通風軸（換気塔）の先端，煙道の末端Ｆ２３Ｌ１７／０２）']
['選択（スイッチ，リレー，セレクタＨ０１Ｈ；無線通信ネットワークＨ０４Ｗ）［１，２００９．０１］']","[]
['遠隔制御システムまたはテレメータシステムにおいて一つのメインステーションから一つのサブステーションを選択的に呼び出すための配置であって，そのサブステーションは対象となる装置を選択して，その装置に制御信号を印加し，またはその装置から測定値を得るもの']
[]
[]"
219,220,特願2013-135499,特開2015-009308,"2013/06/27
2015/01/19
2017/10/13",判定装置、判定プログラムおよび判定方法,富士通株式会社,B25J13/08@Z,2013-06-27,1,6,2013,B25J,B25J13/08,['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],['センサー手段，例．視覚または触覚装置，によるもの［４］']
220,221,特願2013-132819,特開2015-008405,"2013/06/25
2015/01/15
-",情報表示選択システムおよび情報表示選択方法,ＫＤＤＩ株式会社,"H04N21/422 
H04N21/431",2013-06-25,1,6,2013,H04N,"H04N21/42
H04N21/43",['画像通信，例．テレビジョン［４］'],"[]
['コンテンツまたは付加データの処理，例．デジタル・ビデオストリームからの付加データの多重分離；基礎的なクライアント操作，例．ホーム・ネットワークの監視またはデコーダ・クロックの同期；クライアントのミドルウェア［２０１１．０１］']"
221,222,特願2013-129497,特開2015-005103,"2013/06/20
2015/01/08
2015/07/03",同行判断装置、同行判断方法、およびプログラム,ヤフー株式会社,"G06F17/30,350@C 
G06F17/30,310@Z 
G06F17/30,210@D",2013-06-20,1,6,2013,G06F,"G06F17/30
G06F17/30
G06F17/30",['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）'],"['情報検索；そのためのデータベース構造［６］']
['情報検索；そのためのデータベース構造［６］']
['情報検索；そのためのデータベース構造［６］']"
222,223,特願2016-522855,特表2016-530429,"2014/06/09
2015/01/08
-",タービンの流体速度場測定,ウインド ファーム アナリティクス リミテッド,"F03D80/00 
G01P5/26@A 
G01S17/58 
他",2014-06-09,1,6,2014,"他
G01P
F03D
G01S","F03D80/00
G01P5/26@
G01S17/58
他","[]
['直線速度または角速度，加速度，減速度または衝撃の測定；運動の有無の指示；運動の方向の指示（ジャイロ効果を利用した角速度の測定Ｇ０１Ｃ１９／００；２以上の運動変量を測定するために複数の測定装置を結合させたものＧ０１Ｃ２３／００；音速の測定Ｇ０１Ｈ５／００；光速の測定Ｇ０１Ｊ７／００；電波または他の波動の反射または再放射により，伝播効果，例．ドップラー効果，伝播時間または伝播の方向に基づいた固体物体の方位または速度の決定Ｇ０１Ｓ；核放射線の速度の測定Ｇ０１Ｔ）']
['風力原動機']
['無線による方位測定；無線による航行；電波の使用による距離または速度の決定；電波の反射または再輻射を用いる位置測定または存在探知；その他の波を用いる類似の装置']","['グループＦ０３Ｄ１／００～Ｆ０３Ｄ１７／００に分類されない細部，構成要素または付属品［２０１６．０１］']
[]
['速度または軌道の決定方式；運動の方向の決定方式［３］']
[]"
223,224,特願2016-517222,特表2016-526953,"2014/05/23
2014/12/11
-",患者が安全領域を離れるリスクを決定する方法及び装置,コーニンクレッカ フィリップス エヌ ヴェ,"A61B5/00,102@A 
G08B21/02 
G08B25/04@K 
他",2014-05-23,1,5,2014,"他
G08B
A61B","A61B5/00
G08B21/02
G08B25/04
他","[]
['信号または呼出し装置；指令発信装置；警報装置']
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['診断のための検出，測定または記録（放射線診断Ａ６１Ｂ６／００；超音波，音波または亜音波による診断のための測定Ａ６１Ｂ８／００）；個体の識別']
['人の安全確認のための警報［７］']
['専用の信号回線を用いるもの，例．閉ループ状のもの［５］']
[]"
224,225,特願2016-505913,特表2016-520786,"2014/04/02
2014/10/09
-",インラインで加熱される太陽熱ストレージコレクタ,ティーアイジーアイ エルティーディー．,"F24H1/00,621@B 
F24J2/42@J",2014-04-02,1,4,2014,"F24J
F24H","F24H1/00
F24J2/42@","[]
['熱発生手段を有する流体加熱器，例．水加熱器または空気加熱器，一般（伝熱，熱交換，または蓄熱用の物質Ｃ０９Ｋ５／００；非接触的熱分解のためのチューブ炉Ｃ１０Ｇ９／２０；密閉体の排気または吸気のための装置，例．弁，Ｆ１６Ｋ２４／００；スチームトラップまたは類似の装置Ｆ１６Ｔ；蒸気発生Ｆ２２；燃焼装置それ自体Ｆ２３；家庭用ストーブまたはレンジＦ２４Ｂ，Ｆ２４Ｃ；家庭用または区域暖房方式Ｆ２４Ｄ；炉，キルン，窯またはレトルトＦ２７；熱交換器Ｆ２８；電気加熱要素または装置それ自体Ｈ０５Ｂ）']","['熱発生手段を有する水加熱器，例．ボイラ，フロー式加熱器，貯湯式加熱器（Ｆ２４Ｈ７／００，Ｆ２４Ｈ８／００が優先；細部Ｆ２４Ｈ９／００；蒸気ボイラＦ２２Ｂ；水加熱用の付属装置をもつ家庭用のストーブまたはレンジＦ２４Ｂ９／００，Ｆ２４Ｃ１３／００）［５］']
[]"
225,226,特願2016-500701,特表2016-511612,"2014/03/06
2014/10/09
-",個人コンテキストのためのスペクトロメータ,クアルコム，インコーポレイテッド,"H04M1/00@R 
G01J3/36",2014-03-06,1,3,2014,"G01J
H04M","H04M1/00@
G01J3/36","['赤外線，可視光線または紫外線の強度，速度，スペクトル，偏光，位相またはパルスの測定；色の測定；放射温度測定［２］']
['電話通信（電話ケーブルを通して他の装置を制御するための回路であって電話機開閉装置に関わらないものＧ０８）']","[]
['別々の検出器によるスペクトル中の２以上のバンドの調査']"
226,227,特願2013-187108,特開2014-182121,"2013/09/10
2014/09/29
-",放射線検体からのガンマ線を検出するシステム,ルサーノ・ダイナミクス,"G01T1/161@A 
G01T1/20@J",2013-09-10,1,9,2013,G01T,"G01T1/161
G01T1/20@",['原子核放射線またはＸ線の測定（物質の放射線分析，質量分析器Ｇ０１Ｎ２３／００；放射線または粒子の，存在，強度，密度またはエネルギーを決定するための管  Ｈ０１Ｊ４７／００）'],"['核医学の分野における応用，例．生体内計数［２］']
[]"
227,228,特願2016-503744,特表2016-514508,"2014/03/12
2014/09/25
-",放射線撮像における予測動きゲーティングのための神経生理学的監視,コーニンクレッカ フィリップス エヌ ヴェ,"A61B6/03,330@Z 
A61B5/05,370 
A61B6/03,333@A 
他",2014-03-12,1,3,2014,"他
A61B","A61B6/03
A61B5/05
A61B6/03
他","[]
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['計算による断層撮影装置（エコー断層撮影法Ａ６１Ｂ８／１４）［４］']
['電流または磁場による診断のための測定（Ａ６１Ｂ５／０２，Ａ６１Ｂ５／０４，Ａ６１Ｂ５／１１が優先）［５］']
['計算による断層撮影装置（エコー断層撮影法Ａ６１Ｂ８／１４）［４］']
[]"
228,229,特願2016-502903,特表2016-517595,"2014/03/14
2014/09/18
2017/12/08",個別化医療における情報の電子配信,１２ディーエックス インコーポレイテッド 他,"G06Q50/22 
G16H20/00",2014-03-14,1,3,2014,"G06Q
G16H","G06Q50/22
G16H20/00","['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['ヘルスケアインフォマティクス，すなわち，医療または健康管理データの取扱いまたは処理に特に適合した情報通信技術［ＩＣＴ］［２０１８．０１］']","['社会福祉事業［２０１８．０１］']
['療法または健康改善計画に特に適合したＩＣＴ，例．処方箋の取扱い，療法を進めることまたは患者コンプライアンスを監視するためのもの［２０１８．０１］']"
229,230,特願2015-561525,特表2016-513999,"2014/03/04
2014/09/12
-",身体活動監視デバイスを用いたゲームプレーの拡張,マイクロソフト テクノロジー ライセンシング，エルエルシー,"A63F13/212 
G06F3/01,510 
A63F13/428 
他",2014-03-04,1,3,2014,"A63F
他
G06F","A63F13/21
G06F3/01
A63F13/42
他","['カードゲーム，盤上ゲーム，ルーレットゲーム；小遊技動体を用いる室内用ゲーム；ビデオゲーム；他に分類されないゲーム［５］']
[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']","['そのセンサー，目的または型式に特徴があるもの［２０１４．０１］']
['ユーザーと計算機との相互作用のための入力装置または入力と出力が結合した装置（Ｇ０６Ｆ３／１６が優先）［８］']
['入力信号をゲームコマンドに対応付けることによるもの，例．タッチスクリーン上のスタイラスから仮想車両のステアリング角への変換の対応付け［２０１４．０１］']
[]"
230,231,特願2015-555350,特表2016-518633,"2014/01/24
2014/07/31
2017/09/01",モバイルデバイス上での挙動の特徴の適応的な観測,クアルコム，インコーポレイテッド,"G06F11/34@S 
G06F21/55 
H04L13/00,313 
他",2014-01-24,1,1,2014,"他
G06F
H04L","G06F11/34
G06F21/55
H04L13/00
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']
['デジタル情報の伝送，例．電信通信（電信通信と電話通信に共通の装置Ｈ０４Ｍ）［４］']","['コンピュータ動作の記録または統計的評価，例．故障時間のまたは入出力動作の記録または統計的評価［３］']
['ローカルへの侵入を検知または対抗策を実行するもの［２０１３．０１］']
['グループＨ０４Ｌ１５／００またはＨ０４Ｌ１７／００に包含される装置または回路の細部']
[]"
231,232,特願2012-233059,特開2014-083148,"2012/10/22
2014/05/12
2014/04/18",特徴量算出装置及びプログラム,沖電気工業株式会社 他,"A61B5/08 
A61B5/10,310@A 
G01S7/32@F 
他",2012-10-22,1,10,2012,"他
G01S
A61B","A61B5/08
A61B5/10
G01S7/32@
他","[]
['無線による方位測定；無線による航行；電波の使用による距離または速度の決定；電波の反射または再輻射を用いる位置測定または存在探知；その他の波を用いる類似の装置']
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['呼吸器官評価用の測定用装置（Ａ６１Ｂ５／０２０５が優先）［５］']
[]
[]
[]"
232,233,特願2015-537418,特表2016-502697,"2013/10/17
2014/04/24
-",輸送手段への攻撃の検出および防止のためのデバイス,タワー－セク・リミテッド,"G06F21/55 
B60R16/02,660@Q",2013-10-17,1,10,2013,"B60R
G06F","G06F21/55
B60R16/02","['他に分類されない車両，車両付属具，または車両部品（特に車両に適合する防火，延焼抑制または消火Ａ６２Ｃ３／０７）']
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']","['ローカルへの侵入を検知または対抗策を実行するもの［２０１３．０１］']
['電気によるもの［３］']"
233,234,特願2015-519487,特表2015-527901,"2013/06/26
2014/01/03
2017/04/28",管腔器官における流れに関連する画像処理,エスワイエヌシー－アールエックス、リミテッド 他,"A61B6/00,330@A 
A61B6/00,331@E 
A61B6/00,350@C 
他",2013-06-26,1,6,2013,"他
A61B","A61B6/00
A61B6/00
A61B6/00
他","[]
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['放射線診断用機器，例．放射線治療と結合している装置（核医学の分野に適用される放射線強度を判定する機器，例．生体内計数Ｇ０１Ｔ１／１６１；Ｘ線写真撮影装置Ｇ０３Ｂ４２／０２）']
['放射線診断用機器，例．放射線治療と結合している装置（核医学の分野に適用される放射線強度を判定する機器，例．生体内計数Ｇ０１Ｔ１／１６１；Ｘ線写真撮影装置Ｇ０３Ｂ４２／０２）']
['放射線診断用機器，例．放射線治療と結合している装置（核医学の分野に適用される放射線強度を判定する機器，例．生体内計数Ｇ０１Ｔ１／１６１；Ｘ線写真撮影装置Ｇ０３Ｂ４２／０２）']
[]"
234,235,特願2015-518581,特表2015-520471,"2013/06/20
2013/12/27
2017/01/13",ジェスチャー入力のための指先の場所特定,アマゾン・テクノロジーズ、インコーポレイテッド,"G06F3/033,422 
G06F3/033,421 
G06F3/0346,421 
他",2013-06-20,1,6,2013,"他
G06F","G06F3/033
G06F3/033
G06F3/034
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']","['ユーザにより変位または位置決めされるポインティングデバイス；その付属具（変換手段によって特徴付けられたデジタイザＧ０６Ｆ３／０４１）［３，８，２０１３．０１］']
['ユーザにより変位または位置決めされるポインティングデバイス；その付属具（変換手段によって特徴付けられたデジタイザＧ０６Ｆ３／０４１）［３，８，２０１３．０１］']
[]
[]"
235,236,特願2015-511867,特表2015-525086,"2013/05/17
2013/11/21
-",問題賭博行為の自動検出、ならびにゲーム機および賭博装置機能の抑止および制御のためのシステム,ティー．キャロウェイ アンド アソシエイツ ピーティーワイ リミテッド,"A63F13/75 
G06Q50/34 
A63F13/79 
他",2013-05-17,1,5,2013,"A63F
G06Q
他","A63F13/75
G06Q50/34
A63F13/79
他","['カードゲーム，盤上ゲーム，ルーレットゲーム；小遊技動体を用いる室内用ゲーム；ビデオゲーム；他に分類されないゲーム［５］']
['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
[]","['ルールを実行するもの，例．ファウルプレイの検出または不正プレイヤーのリストの生成［２０１４．０１］']
['賭博またはブックメーキング，例．インターネット賭博［２０１２．０１］']
['プレイヤー関連のデータに関するもの，例．識別情報，アカウント，嗜好またはプレイ履歴［２０１４．０１］']
[]"
236,237,特願2011-280959,特開2013-131100,"2011/12/22
2013/07/04
-",人数予測方法、人数予測装置、移動ロボット及びプログラム,国立大学法人電気通信大学,"B66B3/00@L 
G01V9/04@J 
G05D1/02@H 
他",2011-12-22,1,12,2011,"G01V
他
G05D
B66B","B66B3/00@
G01V9/04@
G05D1/02@
他","['地球物理；重力測定；塊状物または対象物の検出；タグ（突発的に埋まった，例．雪に埋まった人の位置を指示する手段Ａ６３Ｂ２９／０２）［４，６］']
[]
['非電気的変量の制御または調整系（金属の連続鋳造Ｂ２２Ｄ１１／１６；弁それ自体Ｆ１６Ｋ；非電気的変量の検出はＧ０１の関連サブクラスを参照；電気的または磁気的変量の調整Ｇ０５Ｆ）']
['エレベータ；エスカレータまたは移動歩道（通常の脱出手段，例．階段，に代替して利用される救命装置で，建造物その他の構造物から人体をおろすために，救出かご，袋または類似の支持物を用いるものＡ６２Ｂ１／０２；輸送貨物を扱うための装置または飛行機への乗客の乗降を容易にするための装置Ｂ６４Ｄ９／００；リフトまたは牽引装置への応用を特徴とする制動または係止装置Ｂ６６Ｄ５／００）［４］']","[]
[]
[]
[]"
237,238,特願2014-542583,特表2015-504581,"2012/11/21
2013/06/06
2016/10/28",波長感知式照明システムおよび関連方法,エンバイロメンタル ライト テクノロジーズ コーポレーション 他,"H04B9/00,116 
H05B37/02@G 
H05B37/02@Z 
他",2012-11-21,1,11,2012,"他
H05B
H04B","H04B9/00
H05B37/02
H05B37/02
他","[]
['電気加熱；他に分類されない電気照明']
['伝送［４］']","[]
['制御']
['制御']
[]"
238,239,特願2014-530652,特表2014-527246,"2012/09/14
2013/03/21
2017/11/10",個々の顧客からシステムレベルへの負荷予測,ナラヤン、アミット 他,"G06Q50/06 
H02J3/00@A 
H02J3/00@G 
他",2012-09-14,1,9,2012,"他
H02J
G06Q","G06Q50/06
H02J3/00@
H02J3/00@
他","[]
['電力給電または電力配電のための回路装置または方式；電気エネルギーを蓄積するための方式（Ｘ線，ガンマ線，微粒子線または宇宙線の測定のための装置の電力供給回路Ｇ０１Ｔ１／１７５；可動部のない電子時計に使うのに特に適した電力供給回路Ｇ０４Ｇ１９／００；デジタル・コンピュータ用のものＧ０６Ｆ１／１８；放電管用Ｈ０１Ｊ３７／２４８；電力の変換のための回路または装置，そのような回路または装置の制御，原動機発電機結合の制御Ｈ０２Ｐ；高周波電力の制御Ｈ０３Ｌ；情報の伝送のための電力線または電力回路網の付加的使用Ｈ０４Ｂ）']
['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']","['電気，ガスまたは水道供給［２０１２．０１］']
[]
[]
[]"
239,240,特願2012-168747,特開2013-050713,"2012/07/30
2013/03/14
2014/01/24",合焦位置を決定する方法及びビジョン検査システム,セラビジョン、アクチボラグ,"G01C3/06,120@S 
G01N21/84@Z 
G02B7/11@J 
他",2012-07-30,1,7,2012,"他
G02B
G01C
G01N","G01C3/06
G01N21/84
G02B7/11@
他","[]
['光学要素，光学系，または光学装置（Ｇ０２Ｆが優先；照明装置またはそのシステムの使用に特に適した光学的要素Ｆ２１Ｖ１／００～Ｆ２１Ｖ１３／００；測定器具はＧ０１の関連するサブクラスを参照，例．光学的距離計Ｇ０１Ｃ；光学要素，光学系または光学装置の試験Ｇ０１Ｍ１１／００；眼鏡Ｇ０２Ｃ；写真を撮影するためのまたは写真を投影もしくは直視するための装置または配置Ｇ０３Ｂ；音響レンズＧ１０Ｋ１１／３０；電子およびイオン“光学”Ｈ０１Ｊ；Ｘ線“光学”Ｈ０１Ｊ，Ｈ０５Ｇ１／００；放電管と構造的に結合された光学要素Ｈ０１Ｊ５／１６，Ｈ０１Ｊ２９／８９，Ｈ０１Ｊ３７／２２；マイクロ波“光学”Ｈ０１Ｑ；光学要素とテレビジョン受像機の組合わせＨ０４Ｎ５／７２；カラーテレビジョン方式における光学系または装置Ｈ０４Ｎ９／００；透明または反射する部分に特に適合した加熱装置Ｈ０５Ｂ３／８４）［１，７］']
['距離，水準または方位の測定；測量；航行；ジャイロ計器；写真計量または映像計量（液位の測定Ｇ０１Ｆ；無線による航行，電波の伝播効果，例．ドプラ効果，伝播時間，の使用による距離または速度の決定，その他の波を用いる類似の装置Ｇ０１Ｓ）']
['材料の化学的または物理的性質の決定による材料の調査または分析（参照，免疫分析以外の酵素または微生物を含む測定または試験Ｃ１２Ｍ，Ｃ１２Ｑ）']","['最終指示値を得るための電気的手段の使用']
['特殊な応用に特に適合したシステム［３］']
[]
[]"
240,241,特願2014-527544,特表2014-533386,"2012/07/11
2013/03/14
-",自動車のための安全装置,ローベルト ボッシュ ゲゼルシャフト ミット ベシュレンクテル ハフツング,"B60R21/00,628 
B60W30/095 
B60W50/14 
他",2012-07-11,1,7,2012,"B60R
他
B60W","B60R21/00
B60W30/09
B60W50/14
他","['他に分類されない車両，車両付属具，または車両部品（特に車両に適合する防火，延焼抑制または消火Ａ６２Ｃ３／０７）']
[]
['異なる種類または異なる機能の車両用サブユニットの関連制御；ハイブリッド車両に特に適した制御システム；特定の単一のサブユニットの制御に関するものではない、特定の目的のための道路走行用車両の運動制御システム［８］']","['事故又は他の交通危機の場合乗員又は歩行者を負傷から保護又は防止するための車両の装置又は部品（車両における安全ベルトまたは身体用設備Ｂ６０Ｒ２２／００；異常加速度による影響から乗っている人間を保護する様，特に設計された座席，例．安全座席，Ｂ６０Ｎ２／４２；車両操向用ハンドホイールエネルギー吸収装置Ｂ６２Ｄ１／１１；車両操向用コラムエネルギー吸収装置Ｂ６２Ｄ１／１９）［４，５］']
['衝突回避行動を自動的に行うもの，例．制動と操向［２０１２．０１］']
['運転者に情報、警告を伝えたり、運転者の介入を促したりする手段［２０１２．０１］']
[]"
241,242,特願2011-180600,特開2013-045160,"2011/08/22
2013/03/04
2015/02/13",情報処理システム、管理サーバ及び情報処理方法,株式会社日立製作所,"G06F17/60,150 
G06F17/60,158 
G06Q10/06,110 
他",2011-08-22,1,8,2011,"他
G06Q
G06F","G06F17/60
G06F17/60
G06Q10/06
他","[]
['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']","[]
[]
['資源，ワークフロー，人員またはプロジェクト管理，例．組織化，計画，スケジューリング，時間的，人的または物的資源の割り当て；事業計画；組織モデル［２０１２．０１］']
[]"
242,243,特願2011-148496,特開2013-013969,"2011/07/04
2013/01/24
-",ｍｉｃｒｏｓｏｆｔｋｉｎｅｃｔによるロボット制御とその応用,新妻 弘崇,B25J13/08@A,2011-07-04,1,7,2011,B25J,B25J13/08,['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],['センサー手段，例．視覚または触覚装置，によるもの［４］']
243,244,特願2014-514155,特表2014-526057,"2012/06/11
2012/12/13
-",音声分析の方法およびシステム,エックス システム リミテッド,"A61M21/00,330@B 
G10G1/00 
G10L19/00,312@E 
他",2012-06-11,1,6,2012,"他
G10L
A61M
G10G","A61M21/00
G10G1/00
G10L19/00
他","[]
['音声の分析または合成；音声認識；音声処理；音声または音響の符号化と復号化［４］']
['人体の中へ，または表面に媒体を導入する装置（動物の体内へのまたは表面への媒体の導入Ａ６１Ｄ７／００；タンポン挿入手段Ａ６１Ｆ１３／２６；食物または薬の経口投与装置Ａ６１Ｊ；血液または医療用液体を収集，貯蔵または処理するための容器Ａ６１Ｊ１／０５）；人体用の媒体を交換する，または人体から媒体を除去するための装置（手術Ａ６１Ｂ；手術用物品の化学的事項Ａ６１Ｌ；人体内に置かれた磁気素子を用いる磁気治療Ａ６１Ｎ２／１０）；眠りまたは無感覚を生起または終らせるための装置［４，５］']
['音楽のための補助具；楽器の支持具；その他の音楽または楽器用の補助装置または付属品（譜面台Ａ４７Ｂ；音楽的特色のないおもちゃの楽器Ａ６３Ｈ５／００；メトロノームＧ０４Ｆ５／０２；音楽の教習Ｇ０９Ｂ１５／００）']","['意識の状態に変化を起こさせるその他の装置または方法；機械的，光学的または音響的手段によって眠りを生起または終わらせる装置，例．催眠のためのもの（眠りを促進するベッドＡ６１Ｇ７／０４３）']
['音楽の表現のための手段']
['冗長を減らすための音声または音響信号の分析合成技術，例．ボコーダにおける；音声または音響信号のコード化またはデコード化，ソースフィルタモデルまたは心理音響分析を用いるもの（楽器におけるものＧ１０Ｈ）［７，２０１３．０１］']
[]"
244,245,特願2013-550569,特表2014-513330,"2012/01/18
2012/11/15
2015/05/01",パターンマッチングを介した状況の学習,クゥアルコム・インコーポレイテッド,"G06F19/00,100 
G06N5/04,550@N 
G06N5/04,580@A 
他",2012-01-18,1,1,2012,"他
G06F
G06N","G06F19/00
G06N5/04
G06N5/04
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']
['特定の計算モデルに基づくコンピュータ・システム［７］']","['特定の用途に特に適合したデジタル計算またはデータ処理の装置または方法（特定の機能に特に適合したものＧ０６Ｆ１７／００；管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法Ｇ０６Ｑ；ヘルスケアインフォマティクスＧ１６Ｈ）［２０１８．０１］']
['推論方法または装置［７］']
['推論方法または装置［７］']
[]"
245,246,特願2011-060689,特開2012-198607,"2011/03/18
2012/10/18
-",座標補正関数生成装置、入力装置、座標補正関数生成方法、座標補正方法、及びプログラム,ソニー株式会社,"G06F3/041,380@B 
G06F3/041,520 
G06F3/044@E 
他",2011-03-18,1,3,2011,"他
G06F","G06F3/041
G06F3/041
G06F3/044
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']","['変換手段によって特徴付けられたデジタイザー，例．タッチスクリーンまたはタッチパッド用のもの［８］']
['変換手段によって特徴付けられたデジタイザー，例．タッチスクリーンまたはタッチパッド用のもの［８］']
['容量性手段によるもの［８］']
[]"
246,247,特願2014-501307,特表2014-514043,"2012/03/26
2012/09/27
2016/12/16",神経刺激装置,カリフォルニア インスティテュート オブ テクノロジー 他,A61N1/36,2012-03-26,1,3,2012,A61N,A61N1/36,['電気治療；磁気治療；放射線治療；超音波治療（生体電流の測定Ａ６１Ｂ；非機械的な形態のエネルギーを，身体へ，または身体から伝達する手術用機器，器具，または方法Ａ６１Ｂ１８／００；麻酔装置一般Ａ６１Ｍ；白熱ランプＨ０１Ｋ；加熱用の赤外線放射器Ｈ０５Ｂ）［６］'],['刺激のための，例．心臓ペースメーカ']
247,248,特願2011-037370,特開2012-170740,"2011/02/23
2012/09/10
2013/09/13",消費エネルギー測定装置、消費エネルギー測定方法および運動解析システム,沖電気工業株式会社,"A61B5/10,310@A 
A61B5/10,310@G 
A61B5/22@B 
他",2011-02-23,1,2,2011,"他
A61B","A61B5/10
A61B5/10
A61B5/22@
他","[]
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","[]
[]
[]
[]"
